subject,predicate,object,category
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Elisabeth_Toubro,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Endel_Taniloo,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ennutsiak,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Enook_Manomie,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Epiphanius_Evesham,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Lists_of_sculptors,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/List_of_female_sculptors,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Jean-Louis-Ernest_Meissonier,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Minoru_Niizuma,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mirit_Cohen,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/László_Beszédes,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Léon_Indenbaum,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Léon_Mignon,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Léonard_De_Cuyper,sculptor
