Subject,Predicate,Object
Sanjeev_Arora,wikiPageWikiLink,Hedge_fund
Andrea_Aleksi,wikiPageWikiLink,Gothic_art
Sanjeev_Arora,wikiPageWikiLink,Category:Living_people
George_Gammon_Adams,wikiPageWikiLink,John_Graham_(bishop)
Antun_Augustinčić,wikiPageWikiLink,List_of_World_War_II_monuments_and_memorials_in_Bosnia_and_Herzegovina
Andrea_Aleksi,wikiPageWikiLink,Baroque
Lawrence_M._Breed,wikiPageWikiLink,Time-division_multiplexing
Benjamin_Paul_Akers,wikiPageWikiLink,Capital_punishment_in_the_United_States
Magdalena_Abakanowicz,wikiPageWikiLink,Magdalena_Abakanowicz
Peter_Bernus,wikiPageWikiLink,Computer-integrated_manufacturing
Lisa_Anthony,wikiPageWikiLink,Bill_Arnsparger
Barry_Boehm,wikiPageWikiLink,Roland_Carl_Backhouse
Rod_Brooks,wikiPageWikiLink,Roger_Moore_(computer_scientist)
Corrado_Böhm,wikiPageWikiLink,Luca_Cordero_di_Montezemolo
Cecilia_Berdichevsky,wikiPageWikiLink,Eldon_C._Hall
Alashua_Aningmiuq,wikiPageWikiLink,David_Hockney
Manuel_Blum,wikiPageWikiLink,Carolyn_R._Bertozzi
Norah_Ansell,wikiPageWikiLink,Cornelia_Parker
Martin_Campbell-Kelly,wikiPageWikiLink,Bauer–Fike_theorem
Sarah_Fisher_Ames,wikiPageWikiLink,Patricia_Johanson
Janine_Antoni,wikiPageWikiLink,Carl_Andre
Alashua_Aningmiuq,wikiPageWikiLink,Vilmos_Aba-Novák
Gene_Amdahl,wikiPageWikiLink,Heterogeneous_computing
Manindra_Agrawal,wikiPageWikiLink,Roger_Needham
Edward_Allington,wikiPageWikiLink,Cicely_Hey
Isa_Paddy_Aqiattusuk,wikiPageWikiLink,Category:Indigenous_artists_of_the_Americas
Bruce_Arden,wikiPageWikiLink,David_E._Shaw
Grady_Booch,wikiPageWikiLink,Scott_Garson
Tiziano_Aspetti,wikiPageWikiLink,Cloister
Christophe-Gabriel_Allegrain,wikiPageWikiLink,Elisabeth_Gordon_Chandler
Wäinö_Aaltonen,wikiPageWikiLink,Lennart_Nilsson
